Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-12-11,2486.749755859375,2508.2795384228575,2469.7312537001258,2494.879177369092,1795408
2020-12-14,2499.34619140625,2504.9743871810156,2462.3165672851906,2503.187672211557,2483658
2020-12-15,2467.0517578125,2496.666475417624,2461.2002218310895,2488.894307811766,2365509
2020-12-16,2514.087158203125,2519.0900484904337,2466.0691825446625,2482.6410112533545,2565149
2020-12-17,2535.52685546875,2549.373894766858,2505.8674342705417,2511.227578514971,2863460
2020-12-18,2555.895751953125,2588.9499787347627,2542.674017619499,2562.1492543172185,6076692
2020-12-21,2519.402099609375,2578.6764577580393,2488.000670312191,2555.8958412076045,2705195
2020-12-22,2566.170166015625,2576.1310177992696,2518.062763389865,2531.7758922500543,2881737
2020-12-23,2598.5537109375,2607.710625604319,2559.87128633377,2569.3409633774995,2790988
2020-12-24,2599.090087890625,2609.8103793673413,2575.7286551846814,2598.777325480599,1807144
2020-12-28,2617.0009765625,2635.1361746844655,2592.523072014903,2599.669930931553,2108994
2020-12-29,2617.984130859375,2637.191316941435,2608.6038771913923,2608.6038771913923,1994151
2020-12-30,2599.045654296875,2633.350503448529,2592.524099330231,2621.4688021703814,2637968
2020-12-31,2557.459228515625,2595.203583560524,2541.6021326091877,2590.736795981246,4040956
2021-01-01,2615.973876953125,2626.4708266856273,2571.9760238190206,2572.8693812430633,2681440
2021-01-04,2715.31591796875,2725.4109032291594,2627.320187748944,2635.4051182581397,5113293
2021-01-05,2763.155029296875,2782.1388781079186,2715.4498211736627,2715.4498211736627,5801309
2021-01-06,2726.080810546875,2781.4689836597395,2713.305752804704,2769.4086556432285,3726716
2021-01-07,2709.37451171875,2752.300380713004,2680.295683167491,2747.0741524006453,3717827
2021-01-08,2788.080078125,2794.423005308684,2733.674679106321,2760.4754112544224,5879039
2021-01-11,2837.70556640625,2885.544907172452,2810.994262711835,2885.544907172452,9508039
2021-01-12,2836.276611328125,2867.678045361701,2814.0765865698936,2837.7058526996366,3611458
2021-01-13,2822.072021484375,2838.1971702115275,2792.859270813279,2836.410454964306,3572801
2021-01-14,2909.564208984375,2923.706165258729,2792.9381394627762,2823.907225284338,6931542
2021-01-15,2894.03466796875,2930.4186731272484,2873.1349849537164,2895.5114256465026,4131692
2021-01-18,2883.652099609375,2914.979118616538,2852.9067806900816,2908.937479236585,4160906
2021-01-19,2918.51416015625,2934.8937573090757,2892.82605173008,2893.721109295591,2975735
2021-01-20,2961.56640625,2978.7066705836833,2924.2425508612077,2926.8381302966277,3453446
2021-01-21,2930.28466796875,2961.880029201729,2919.76774024708,2958.165627244179,2778546
2021-01-22,2956.464599609375,2976.066272008023,2901.6869042379963,2901.6869042379963,3052459
2021-01-25,2945.9033203125,2989.3136168261917,2934.5807098005753,2961.701000604869,2272887
2021-01-27,2918.827880859375,2959.4634119812754,2888.3511232579795,2953.690333669455,2786662
2021-01-28,2861.0966796875,2931.3139111998876,2849.684694231684,2891.036315473477,3083938
2021-01-29,2784.83837890625,2879.26698377329,2774.6793847187205,2873.1805465802327,5445659
2021-02-01,2809.899169921875,2832.8573100025524,2724.6449333412297,2774.6785658792774,3985846
